REQUEST,DECOMPOSITION
Find and locate a lost bicycle helmet near Bridge walkway.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Object_Recognition > Helper_Drone:Location_Ping
Help my grandmother get from the building lobby to her apartment safely and carry her grocery bag.,Telepresence_Bot:Video_Call_Setup > Telepresence_Bot:Indoor_Navigation > Courier_Bot:Pickup_From_Merchant > Courier_Bot:Sidewalk_Navigation > Courier_Bot:Building_Access > Courier_Bot:Secure_Handoff
Deliver a parcel from the kiosk to my apartment balcony (Building C 3rd floor unit 3B).,Courier_Bot:Pickup_From_Merchant > Courier_Bot:Sidewalk_Navigation > Helper_Drone:Dropoff_Balcony > Courier_Bot:Secure_Handoff
Find my lost glasses near the Post Office stairs and take them to the Lost & Found desk.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Object_Recognition > Helper_Drone:Light_Item_Pickup > Helper_Drone:Location_Ping > Courier_Bot:Sidewalk_Navigation > Courier_Bot:Secure_Handoff
Check if there is a strange noise near Central Park fountain.,Utility_Rover:Environmental_Sensing > Patrol_Drone:Live_Video_Relay > Utility_Rover:QR_Tagging
Remove a small obstacle from Parking lot A3 and tag the area.,Patrol_Drone:Aerial_Scan > Utility_Rover:Minor_Repair > Utility_Rover:QR_Tagging
Collect overflowing trash near Community gym.,Patrol_Drone:Aerial_Scan > Utility_Rover:Waste_Collection > Utility_Rover:Environmental_Sensing
Check if someone accidentally dropped keys on Main Street crossing and clear the area if they block pedestrian movement.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Object_Recognition > Utility_Rover:Minor_Repair > Utility_Rover:QR_Tagging > Helper_Drone:Location_Ping
Pick up a repaired watch from the electronics shop and place it in the smart locker at the Riverside Café entrance.,Courier_Bot:Pickup_From_Merchant > Courier_Bot:Sidewalk_Navigation > Utility_Rover:Environmental_Sensing > Courier_Bot:Secure_Handoff
Help me find my lost dog near the City Hall entrance and guide it safely to the nearest animal care station.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Object_Recognition > Helper_Drone:Location_Ping > Utility_Rover:Environmental_Sensing > Utility_Rover:Minor_Repair
Glass bottles are scattered at the recycling center entrance and they need to be cleaned up to prevent anyone from getting hurt.,Patrol_Drone:Aerial_Scan > Telepresence_Bot:Video_Call_Setup > Helper_Drone:Light_Item_Pickup > Utility_Rover:Environmental_Sensing
A streetlight near Riverside bench is flickering; it should be inspected and fixed before night.,Patrol_Drone:Aerial_Scan > Utility_Rover:Environmental_Sensing > Utility_Rover:Minor_Repair > Telepresence_Bot:Video_Call_Setup
Water is overflowing around the Central Park fountain and it needs to be checked and controlled before it spreads to the walkway.,Patrol_Drone:Aerial_Scan > Utility_Rover:Environmental_Sensing > Telepresence_Bot:Video_Call_Setup > Utility_Rover:Minor_Repair
There is smoke coming from a trash bin near Riverside bench and it needs to be inspected contained and reported immediately.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Live_Video_Relay > Utility_Rover:Environmental_Sensing > Utility_Rover:Minor_Repair > Telepresence_Bot:Video_Call_Setup > Helper_Drone:Location_Ping
A child left a USB drive with school project files at the electronics shop and it should be safely returned to the teacher waiting at Northside playground before class starts.,Patrol_Drone:Aerial_Scan > Courier_Bot:Pickup_From_Merchant > Courier_Bot:Sidewalk_Navigation > Telepresence_Bot:Video_Call_Setup > Courier_Bot:Secure_Handoff
A digital timetable at Bus stop 17 is blank and it needs to be checked and restored before the next bus arrives.,Patrol_Drone:Aerial_Scan > Telepresence_Bot:Video_Call_Setup > Utility_Rover:Environmental_Sensing > Utility_Rover:Minor_Repair
An elderly passenger is stuck at the elevator near Train station platform and needs quick assistance to reach the upper level safely.,Helper_Drone:Rapid_Dispatch > Telepresence_Bot:Video_Call_Setup > Telepresence_Bot:Elevator_Operation > Utility_Rover:Environmental_Sensing > Telepresence_Bot:Staff_Alert
I dropped my phone in the fountain at Cinema plaza and I need help retrieving it safely before it gets damaged.,Patrol_Drone:Aerial_Scan > Telepresence_Bot:Video_Call_Setup > Helper_Drone:Light_Item_Pickup > Utility_Rover:Environmental_Sensing
A delivery drone dropped a package on the roof near Old Town alley and it needs to be retrieved before it gets damaged by rain.,Patrol_Drone:Aerial_Scan > Helper_Drone:Light_Item_Pickup > Utility_Rover:Environmental_Sensing
Check if there is a flickering lamp near Community gym.,Utility_Rover:Environmental_Sensing > Patrol_Drone:Live_Video_Relay > Utility_Rover:QR_Tagging
Announce 'Traffic diversion active along Main Street' around Cinema plaza.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Audio_Announcement > Patrol_Drone:Live_Video_Relay
People are crossing the street near Old Town alley while the signal is red and a warning should be announced to keep them safe.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Audio_Announcement > Telepresence_Bot:Video_Call_Setup
A child is looking for their parents at the Train station platform and a public announcement should be made to help them reunite.,Telepresence_Bot:Video_Call_Setup > Patrol_Drone:Audio_Announcement > Helper_Drone:Location_Ping
A food truck near the University gate is blocking part of the bicycle lane and it needs to be guided to a proper parking spot.,Patrol_Drone:Aerial_Scan > Telepresence_Bot:Video_Call_Setup > Patrol_Drone:Audio_Announcement > Utility_Rover:QR_Tagging
A musician is performing near Public garden and I want a short video recorded and shared from a good angle.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Live_Video_Relay > Helper_Drone:Location_Ping > Telepresence_Bot:Video_Call_Setup
I want to play a short melody through the city speakers near Dog park and record a video of the dogs reacting to the music.,Patrol_Drone:Aerial_Scan > Patrol_Drone:Audio_Announcement > Patrol_Drone:Live_Video_Relay > Helper_Drone:Location_Ping
I forgot to lock my electric scooter near Bus stop 17 and it needs to be checked and secured before someone takes it.,Patrol_Drone:Aerial_Scan > Utility_Rover:Environmental_Sensing > Utility_Rover:Minor_Repair > Telepresence_Bot:Video_Call_Setup
There is a puddle of water near Riverside bench that could cause someone to slip and fall please check and address it.,Patrol_Drone:Aerial_Scan > Utility_Rover:Environmental_Sensing > Telepresence_Bot:Video_Call_Setup > Utility_Rover:Minor_Repair
There is a recycling bin inside the apartment building that is full and it needs to be emptied and replaced with a clean one.,Courier_Bot:Building_Access > Utility_Rover:Waste_Collection > Telepresence_Bot:Staff_Alert
My friend is waiting at the lobby and I need a robot to guide them to my apartment on the fifth floor.,Telepresence_Bot:Video_Call_Setup > Telepresence_Bot:Elevator_Operation > Telepresence_Bot:Indoor_Navigation

